Athlete Name,Country,Sport,Gender,Age,Gold Medals,Silver Medals,Bronze Medals
Lamusi A,People's Republic of China,Judo,M,23,0,0,0
Jamale Aarrass,France,Athletics,M,30,0,0,0
Maria Abakumova,Russian Federation,Athletics,F,26,0,0,0
Luc Abalo,France,Handball,M,27,1,0,0
Maria Laura Abalo,Argentina,Rowing,F,30,0,0,0
Mohamed Abarhoun,Morocco,Football,M,23,0,0,0
Emanuele Abate,Italy,Athletics,M,27,0,0,0
Sohail Abbas,Pakistan,Hockey,M,37,0,0,0
Shakeel Abbasi,Pakistan,Hockey,M,28,0,0,0
Soulmaz Abbasiazad,Islamic Republic of Iran,Rowing,F,28,0,0,0
Simona Abbate,Italy,Water Polo,F,28,0,0,0
Ahmed Abd Elgaber,Egypt,Football,M,22,0,0,0
Mohamed Fawzi Abdalla,United Arab Emirates,Football,M,22,0,0,0
Mohamed Abdel Baki,Egypt,Weightlifting,M,25,0,0,0
Tarek Abdelazim,Egypt,Weightlifting,M,25,0,0,0
Mouni Abderrahim,Algeria,Volleyball,F,26,0,0,0
Youcef Abdi,Australia,Athletics,M,34,0,0,0
Abdihakem Abdirahman,United States of America,Athletics,M,35,0,0,0
Dana Abdul Razak,Iraq,Athletics,F,26,0,0,0
Muminjon Abdullaev,Uzbekistan,Wrestling,M,22,0,0,0
Layes Abdullayeva,Azerbaijan,Athletics,F,21,0,0,0
Yusup Abdusalomov,Tajikistan,Wrestling,M,34,0,0,0
Saeid Morad Abdvali,Islamic Republic of Iran,Wrestling,M,22,0,0,0
Mojtaba Abedini,Islamic Republic of Iran,Fencing,M,28,0,0,0
Jennifer Abel,Canada,Diving,F,20,0,0,1
Yaritza Abel Rojas,Cuba,Judo,F,28,0,0,0
Pablo Abian,Spain,Badminton,M,27,0,0,0
Tomomi Abiko,Japan,Athletics,F,24,0,0,0
Camille Abily,France,Football,F,27,0,0,0
Endurance Abinuwa,Nigeria,Athletics,F,25,0,0,0
Khalil Mahmoud K Abir Abdelrahman,Egypt,Weightlifting,F,20,0,0,0
Bukola Abogunloko,Nigeria,Athletics,F,17,0,0,0
Aminata Aboubakar Yacoub,Congo,Swimming,F,23,0,0,0
Rabah Aboud,Algeria,Athletics,M,31,0,0,0
Gabrielle Aboudi Onguene,Cameroon,Football,F,23,0,0,0
Alaaeldin Abouelkassem,Egypt,Fencing,M,21,0,1,0
Abouhalima Abouhalima,Egypt,Wrestling,M,18,0,0,0
Mohamed Aboutrika,Egypt,Football,M,33,0,0,0
Arnaldo Abrantes,Portugal,Athletics,M,25,0,0,0
Amir Abrashi,Switzerland,Football,M,22,0,0,0
Erika Abril,Colombia,Athletics,F,34,0,0,0
Laura Valentina Abril Restrepo,Colombia,Cycling - Mountain Bike,F,22,0,0,0
Julien Absalon,France,Cycling - Mountain Bike,M,31,0,0,0
Ayele Abshero,Ethiopia,Athletics,M,21,0,0,0
Methkal Abu Drais,Jordan,Athletics,M,28,0,0,0
Maher Abu Rmilah,Palestine,Judo,M,28,0,0,0
Irina Abysova,Russian Federation,Triathlon,F,31,0,0,0
William Accambray,France,Handball,M,24,1,0,0
Raidel Acea,Cuba,Athletics,M,21,0,0,0
Abraham Acevedo,Paraguay,Judo,M,22,0,0,0
Kieron Achara,Great Britain,Basketball,M,29,0,0,0
Georgios Achilleos,Cyprus,Shooting,M,31,0,0,0
Janet Achola,Uganda,Athletics,F,24,0,0,0
Natalie Achonwa,Canada,Basketball,F,19,0,0,0
Dallal Merwa Achour,Algeria,Volleyball,F,17,0,0,0
Haikel Achouri,Tunisia,Wrestling,M,27,0,0,0
Chantal Achterberg,Netherlands,Rowing,F,27,0,0,1
Luz Mercedes Acosta Valdez,Mexico,Weightlifting,F,31,0,0,0
Amy Acuff,United States of America,Athletics,F,37,0,0,0
Crox Acuna Rodriguez,Venezuela,Swimming,M,22,0,0,0
Mariko Adachi,Japan,Triathlon,F,29,0,0,0
Idrissa Adam,Cameroon,Athletics,M,27,0,0,0
Tomasz Adamiec,Poland,Judo,M,30,0,0,0
Antoine Adams,Saint Kitts and Nevis,Athletics,M,23,0,0,0
Cammile Adams,United States of America,Swimming,F,20,0,0,0
Luke Adams,Australia,Athletics,M,35,0,0,0
Lyukman Adams,Russian Federation,Athletics,M,23,0,0,0
Valerie Adams,New Zealand,Athletics,F,27,1,0,0
Filip Adamski,Germany,Rowing,M,29,1,0,0
Jakub Adamski,Poland,Athletics,M,24,0,0,0
Chris Adcock,Great Britain,Badminton,M,23,0,0,0
Jangy Addy,Liberia,Athletics,M,27,0,0,0
Abrar Osman Adem,Eritrea,Athletics,M,18,0,0,0
Margaret Adeoye,Great Britain,Athletics,F,27,0,0,0
Seun Adigun,Nigeria,Athletics,F,25,0,0,0
Rebecca Adlington,Great Britain,Swimming,F,23,0,0,2
Nathan Adrian,United States of America,Swimming,M,23,2,1,0
Jasper Aerents,Belgium,Swimming,M,19,0,0,0
Sara Aerts,Belgium,Athletics,F,28,0,0,0
Francois Affolter,Switzerland,Football,M,21,0,0,0
